"api","description","category","updated"
"shropshire council","uk government portal","government","2011-11-01"
"socrata open data","online data sharing service","government","2010-04-06"
"sunlight foundation&#039;s party time!","political fundraiser invitation database","government","2011-11-11"
"sunlight labs congress","us congress database service","government","2007-02-27"
"sunlight labs real-time congress","near real-time information on the current congress session","government","2011-02-15"
"suomi.fi","finland government services portal","government","2011-11-15"
"tell them what you think","uk government consultations database","government","2008-07-03"
"the old bailey","uk criminal court record search service","government","2012-01-24"
"theyworkforyou","track the uk parliament","government","2007-02-26"
"toronto budget data","city of toronto budget data service","government","2012-01-31"
"transparency data","state and federal campaign contribution data","government","2010-05-28"
"u.s. department of labor","government open data service","government","2011-07-26"
"uk bis","uk government business support sector","government","2011-11-01"
"uk national archives discovery","national archives catalog","government","2011-10-31"
"uk street level crime","uk police force mapping service","government","2010-03-26"
"un contrade","international trade statistics service","government","2011-12-05"
"un data","united nations information service","government","2009-06-17"
"union county nc gis","local north carloina gis service","government","2011-11-01"
"united nations monthly bulletin","world economic development statistics","government","2011-08-12"
"us consumer product safety commission recalls","consumer product recall information","government","2011-09-27"
"usasearch","government data","government","2011-09-23"
"usaspending","database of us government spending","government","2008-01-04"
"usitc edis","u.s. trade document handling service","government","2011-12-09"
"vote.ca districts","canadian voting place locator service","government","2011-02-28"
"voter guide toolkit","issue and candidate support information service","government","2011-12-05"
"washington dc open 311","call center service for washington dc","government","2009-07-06"
"washington state department of revenue sales tax rate","address based tax rate lookup service","government","2010-12-08"
"watchdog","political data lookup","government","2008-07-02"
"what they claimed","expenses records for uk members of parliament","government","2009-08-13"
"where does my money go","government spending database","government","2010-12-21"
"who is my representative","database of us congressional representatives","government","2007-02-20"
"wmata","dc transit service","government","2010-08-30"
"world government data","a portal to government data sets","government","2010-01-21"
".net daily fact",".net daily fact widget","internet","2012-01-09"
".tel","access to .tel dns","internet","2010-04-30"
"30 digits web extractor","semantic web extraction tool","internet","2010-11-22"
"4psa dns manager","dns hosting service","internet","2011-01-14"
"adamsnames registration","internet domain registration","internet","2011-07-07"
"addthis analytics","content sharing analytics data service","internet","2010-02-05"
"addthis menu","allows integration of addthis sharing tools to websites","internet","2009-12-17"
"addthis services","addthis integration service","internet","2011-01-04"
"addthis sharing endpoints","content sharing service","internet","2010-02-05"
"aftermarket.pl","internet domain marketplace","internet","2012-01-09"
"alexa site thumbnail","thumbnail images of web site home pages","internet","2006-08-04"
"alexa top sites","web site traffic rankings","internet","2006-08-04"
"amazon cloudwatch","cloud asset monitoring and management","internet","2009-06-18"
"amazon ec2","elastic compute cloud virtual hosting","internet","2006-08-25"
"ami-link hide","link hiding tool","internet","2010-11-09"
"amplify","content analysis service","internet","2009-05-08"
"appdirect","web based software marketplace","internet","2011-05-12"
"are my sites up?","website uptime monitoring service","internet","2011-11-03"
"arin whois","interent registry access service","internet","2011-02-15"
"at&t synaptic compute","cloud computing services","internet","2011-07-12"
"atlassian bitbucket","online distributed version control service","internet","2011-11-08"
"atomic reach","social publishing platform","internet","2012-01-24"
"authoritylabs account","seo rank checking service","internet","2011-07-26"
"authoritylabs partner","seo rank checking service","internet","2011-07-26"
"automeme","automated meme generator","internet","2011-09-13"
"b2go","url shortening service","internet","2010-06-28"
"b54.in","url shortening service","internet","2011-08-30"
"bc wireless","wireless network community wiki","internet","2011-06-16"
"betaeasy","customer feedback and beta management service","internet","2010-03-25"
"bit.ly","url shortening service","internet","2008-07-13"
"bitl.in","url shortening service","internet","2011-10-11"
"bitrix platform","online web design platform","internet","2010-10-21"
"blogama (ipinfodb)","ip geolocation service","internet","2009-03-30"
"boomi atomsphere","application integration platform","internet","2012-01-31"
"browserid","website sign in service","internet","2011-10-24"
"browsershots","web site compatibility testing service","internet","2011-09-01"
"budurl","url shortening service","internet","2010-10-22"
"budurl.pro","url shortening service","internet","2010-10-25"
"builtwith","website information service","internet","2011-01-25"
"calameo","document publication and sharing service","internet","2010-04-14"
"chartbeat","website analytics service","internet","2009-04-06"
"church analytics","web traffic analytics service","internet","2011-08-02"
"cipres","supercomputing rescource","internet","2011-07-18"
"clickmap","usability analytics service","internet","2011-08-04"
