"table name","table type","rating","# of ratings","historic era","author(s)","download"
"victory","vpinmame","6.0","2","1987 gottlieb / premier","mnpg","aj"
"video pinball (atari 2600)","computer game remake","6.5","2","1981 atari","destruk","NULL"
"viking","electro-mechanical","","","1980 bally manufacturing corporation","eala dubh sidhe","NULL"
"viking","vpinmame","7.3","3","1980 bally manufacturing corporation","eala dubh sidhe","aj"
"vincent pinball","original","","","2002","mitchell & partner","NULL"
"viper night drivin'","vpinmame","6.3","3","1998 sega pinball inc.","kid charlemagne","aj"
"viper","vpinmame","","","1981 stern electronics inc.","germax","aj"
"vision of beauty","original","8.5","2","2002","sphere","NULL"
"volcano","vpinmame","5.0","3","1981 gottlieb","patatrox","aj"
"volley","electro-mechanical","7.5","2","1976 gottlieb","davidsss","NULL"
"voltan escapes cosmic doom","solid state","","","1978 bally manufacturing corporation","joe entropy & eala dubh","NULL"
"voltan escapes cosmic doom","vpinmame","10.0","1","1978 bally manufacturing corporation","joe entropy & eala dubh","aj"
"vortex","vpinmame","6.5","2","1983 taito do brazil","dox & maloti","aj"
"vpman","original","","","2003","apoc","NULL"
"vulcan","electro-mechanical","7.0","2","1977 gottlieb","eala dubh","NULL"
"wacky races","original","8.5","2","2004","eala dubh","NULL"
"war eagle","non pinball game","","","1931 mills novelty co./rockola mfg.","patrick (liberty)","NULL"
"war over nietesorg","original","","","2002","wrenchien","NULL"
"war with the gizmos","original","","","2003","martin moritmer (aka anthias)","NULL"
"warcraft 2","original","","","2002","benjad","NULL"
"warlok","vpinmame","5.8","4","1982 williams electronics inc.","cutter","aj"
"warm shower","original","3.0","1","2002","wrenchien","NULL"
"was fuer einsame gamer","original","","","2001","mr fragezeichen","NULL"
"waterspout","original","","","2003","wrenchien","NULL"
"waterworld","vpinmame","5.0","2","1995 gottlieb / premier","kingzap destruk joep tab","aj"
"wave race","original","","","2001","kevin","NULL"
"way out west","original","","","2001","steve (pinman)","NULL"
"webslinger","original","","","2003","andrew croll aka cowboy","NULL"
"welcome to my phobia","original","","","2003","dizzidi","NULL"
"wheel of fortune","original","","","2002","douglas","NULL"
"whirlwind","vpinmame","7.8","11","1990 williams_electronic games inc.","pacdude","aj"
"white water","vpinmame","8.0","11","1993 williams_electronic games inc.","biffman/dorsola/steve","aj"
"who dunnit","vpinmame","8.7","6","1995 midway mfg. co. a subsidiary of wms industries inc.","kid charlemagne & joxer","aj"
"whoopee","electro-mechanical","","","1964 williams electronic manufacturing co.","redswal","NULL"
"who's goofy?","flipperless","6.5","2","1932 ace novelty company","druadic","pinball nirvana"
"wicked!","original","","","2003","subzero1970","NULL"
"wild card","electro-mechanical","8.0","1","1977 williams electronics inc.","compufox","NULL"
"wild fyre","vpinmame","","","1978 stern electronics inc.","destruk","aj"
"wild life","electro-mechanical","8.0","1","1972 gottlieb","luvthatapex (using bendigos template)","NULL"
"wild west","electro-mechanical","","","1951 gottlieb","redswal","NULL"
"wild wheels","electro-mechanical","8.0","1","1965 bally manufacturing corporation","bendigo","NULL"
"wildball","original","","","2002","joe winwood","NULL"
"wildcard","electro-mechanical","","","1977 williams electronics inc.","compufox","NULL"
"wildfire","toy","8.0","1","1979 parker brothers","nissananimal","NULL"
"winner","electro-mechanical","","","1972 williams electronics inc.","patrick & tiltjlp","NULL"
"winter sports","solid state","","","1978 zaccaria (italy)","luvthatapex and destruk","NULL"
"winter sports","vpinmame","5.5","2","1978 zaccaria (italy)","luvthatapex and destruk","aj"
"wipe out","vpinmame","","","1993 gottlieb / premier","vpmx","aj"
"wired hands","original","","","2002","tii","NULL"
"wishing well","electro-mechanical","7.0","3","1955 gottlieb","leon spalding","NULL"
"wizard of oz the","original","","","2004","icepagoda","NULL"
"wizard!","electro-mechanical","7.0","1","1975 bally manufacturing corporation","mikepin74 & irpinball","NULL"
"wizardry","original","","","2002","coren","NULL"
"wolf3d","original","","","2001","dox","NULL"
"wonderland","electro-mechanical","5.5","2","1955 williams  manufacturing company","duglis","NULL"
"world challenge soccer","vpinmame","8.0","3","1994 gottlieb / premier","joep","aj"
"world champ (novelty)","electro-mechanical","7.0","1","1957 gottlieb","duglis","NULL"
"world champ","electro-mechanical","","","1957 gottlieb","duglis","NULL"
"world cup 2002 (lite)","original","","","2002","ripleyyy","NULL"
"world cup 2002","original","6.7","3","2002","ripleyyy","NULL"
"world cup '90","vpinmame","","","1990 mr. game","destruk tab","aj"
"world cup soccer","vpinmame","8.5","13","1994 midway mfg. co. a subsidiary of wms industries inc.","kid charlemagne fuseball wpcmame","aj"
"world cup","solid state","","","1978 williams electronics inc.","eala dubh sidhe & destruk","NULL"
"world cup","vpinmame","7.0","1","1978 williams electronics inc.","eala dubh sidhe & destruk","aj"
"world fair","electro-mechanical","6.0","2","1964 gottlieb","bendigo","NULL"
"world series 1937","pitch/bat","7.7","3","1937 rock-ola mfg. corp.","obx001 & duglis","NULL"
"world's fair jigsaw","flipperless","7.0","1","1933 rock-ola mfg. corp.","chris la mantia","pinball nirvana"
"wormhole","original","4.0","1","2002","wrenchien","NULL"
"worms: armagedon","original","","","2003","anselmo a. prado","NULL"
"wow!","flipperless","6.5","2","1932 mills novelty co.","druadic","pinball nirvana"
"wr4","?","","","? ?","?","NULL"
"wrath of kang","original","","","2003","rockinghorse","NULL"
"wwf royal rumble","vpinmame","8.5","6","1994 data east usa inc.","rothmans","aj"
"wwf wrestlefest","original","","","2002","subzero1970","NULL"
"xan","original","4.0","1","2002","wrenchien","NULL"
"xenon flipperless","original","","","2003","andrew mortimer","NULL"
"xenon","solid state","","","1979 bally manufacturing corporation","gerhard & crew","NULL"
"xenon","vpinmame","7.5","2","1979 bally manufacturing corporation","gerhard & crew","aj"
"x-files","vpinmame","7.0","11","1997 sega pinball inc.","magnox","aj"
"x-force","vpinmame","3.0","2","1987 technoplay","tab / destruk","aj"
"ximitous","original","","","2003","wrenchien","NULL"
"xmas balls","original","","","2003","tii","NULL"
"xmas tree","original","","","2003","tii","NULL"
"x-men (non dmd)","original","7.0","1","2001","mikepin74","NULL"
"x-men","original","7.0","1","2001","mikepin74","NULL"
"xochitl","original","","","2003","wrenchien","NULL"
"xs & os","solid state","","","1984 bally midway mfg. co.","eala dubh","NULL"
"xs & os","vpinmame","5.0","1","1984 bally midway mfg. co.","eala dubh sidhe & joe entropy","aj"
"yargh","original","3.0","1","2002","wrenchien","NULL"
"yellow submarine","original","6.0","2","2001","spike","NULL"
"yu-gi-oh!","original","","","2003","neo","NULL"
"yukon special","electro-mechanical","","","1971 williams electronics inc.","starman7007","NULL"
"z the heroic","original","","","2004","wrenchien","NULL"
"z the villianous","original","","","2003","wrenchien","NULL"
"zankor","vpinmame","","","1986 zaccaria (italy)","luvthatapex destruk tab","aj"
"zap trap","original","8.0","1","2001","jeff","NULL"
"zarza","solid state","","","1982 taito do brasil","dox & maloti","NULL"
"zarza","vpinmame","7.0","1","1982 taito do brasil","plumb maloti dox destruk kabuki_jo","aj"
"zephy","solid state","6.0","1","1982 ltd argentina","ze banana","NULL"
"zero aw-somi","original","","","2003","wrenchien","NULL"
"zeux's world","original","5.0","1","2002","zaratustra","NULL"
"z-fireball","original","","","2003","tii","NULL"
"zig zag","electro-mechanical","8.5","2","1964 williams electronic manufacturing co.","gottlieb","NULL"
"zipper skill","solid state","","","195? binks ind. inc.","druadic / w. degelmann","NULL"
"zokko","original","","","2003","tii","NULL"
"zombie pinball","original","5.0","2","2001","ripleyyy","NULL"
"zoned","original","","","2004","tii","NULL"
