"collegesort","citysort","representativesort","statesort","district","zip codesort"
"kaskaskia college","centralia","john shimkus","il","19","62801"
"illinois eastern community college system office","olney","john shimkus","il","19","62450"
"lewis & clark community college","godfrey","john shimkus","il","19","62035"
"rend lake college","ina","john shimkus","il","19","62846"
"university of illinois at springfield","springfield","john shimkus","il","19","62703"
"illinois eastern community colleges - olney central college","olney","john shimkus","il","19","62450"
"southern illinois university edwardsville","edwardsville","john shimkus","il","19","62026"
"purdue university - calumet","hammond","peter j. visclosky","in","1","46323"
"saint joseph's college","rensselaer","peter j. visclosky","in","1","47978"
"ivy tech state college - region 1","gary","peter j. visclosky","in","1","46409"
"valparaiso university","valparaiso","peter j. visclosky","in","1","46383"
"sawyer college","merrillville","peter j. visclosky","in","1","46410"
"indiana university - northwest","gary","peter j. visclosky","in","1","46408"
"college of court reporting","hobart","peter j. visclosky","in","1","46342"
"commonwealth business college","merrillville","peter j. visclosky","in","1","46410"
"calumet college of saint joseph","whiting","peter j. visclosky","in","1","46394"
"michiana college","south bend","chris chocola","in","2","46617"
"holy cross college","notre dame","chris chocola","in","2","46556"
"associated mennonite biblical seminary","elkhart","chris chocola","in","2","46517"
"ivy tech state college - region 2","south bend","chris chocola","in","2","46601"
"saint mary's college","notre dame","chris chocola","in","2","46556"
"ancilla domini college","donaldson","chris chocola","in","2","46513"
"indiana university - south bend","south bend","chris chocola","in","2","46634"
"university of notre dame","notre dame","chris chocola","in","2","46556"
"bethel college","mishawaka","chris chocola","in","2","46545"
"purdue university - north central","westville","chris chocola","in","2","46391"
"university of saint francis","fort wayne","mark e. souder","in","3","46808"
"international business college","fort wayne","mark e. souder","in","3","46804"
"grace college and theological seminary","winona lake","mark e. souder","in","3","46590"
"concordia theological seminary","fort wayne","mark e. souder","in","3","46825"
"indiana university - purdue university - ft wayne","fort wayne","mark e. souder","in","3","46805"
"indiana institute of technology","fort wayne","mark e. souder","in","3","46803"
"goshen college","goshen","mark e. souder","in","3","46526"
"itt technical institute","fort wayne","mark e. souder","in","3","46825"
"ivy tech state college - region 3","fort wayne","mark e. souder","in","3","46805"
"tri-state university","angola","mark e. souder","in","3","46703"
"purdue university","west lafayette","steve buyer","in","4","47907"
"american trans air aviation training academy","indianapolis","steve buyer","in","4","46241"
"ivy tech state college - region 4","lafayette","steve buyer","in","4","47903"
"wabash college","crawfordsville","steve buyer","in","4","47933"
"ivy tech state college - region 14","bloomington","steve buyer","in","4","47404"
"taylor university","upland","dan burton","in","5","46989"
"ivy tech state college - region 5","kokomo","dan burton","in","5","46903"
"franklin college of indiana","franklin","dan burton","in","5","46131"
"manchester college","north manchester","dan burton","in","5","46962"
"indiana university - kokomo","kokomo","dan burton","in","5","46902"
"indiana wesleyan university","marion","dan burton","in","5","46953"
"huntington college","huntington","dan burton","in","5","46750"
"bethany theological seminary","richmond","mike pence","in","6","47374"
"ball state university","muncie","mike pence","in","6","47306"
"ivy tech state college - east central","muncie","mike pence","in","6","47302"
"indiana university - east","richmond","mike pence","in","6","47374"
"indiana business college-muncie","muncie","mike pence","in","6","47303"
"ivy tech state college - region 10","columbus","mike pence","in","6","47203"
"earlham college","richmond","mike pence","in","6","47374"
"ivy tech state college - region 9","richmond","mike pence","in","6","47374"
"ball memorial hospital school of radiologic technology","muncie","mike pence","in","6","47303"
"anderson university","anderson","mike pence","in","6","46012"
"lincoln technical institute","indianapolis","julia carson","in","7","46268"
"crossroads bible college","indianapolis","julia carson","in","7","46219"
"butler university","indianapolis","julia carson","in","7","46208"
"indiana business college","indianapolis","julia carson","in","7","46204"
"professional careers institute","indianapolis","julia carson","in","7","46278"
"university of indianapolis","indianapolis","julia carson","in","7","46227"
"martin university","indianapolis","julia carson","in","7","46218"
"ivy tech state college - system office","indianapolis","julia carson","in","7","46208"
"indiana university - purdue university indianapolis","indianapolis","julia carson","in","7","46202"
"itt technical institute","indianapolis","julia carson","in","7","46268"
"marian college","indianapolis","julia carson","in","7","46222"
"christian theological seminary","indianapolis","julia carson","in","7","46208"
"ivy tech state college - region 8","indianapolis","julia carson","in","7","46206"
"depauw university","greencastle","john n. hostettler","in","8","46135"
"rose - hulman institute of technology","terre haute","john n. hostettler","in","8","47803"
"university of southern indiana","evansville","john n. hostettler","in","8","47712"
"itt technical institute","newburgh","john n. hostettler","in","8","47630"
"saint mary of the woods college","saint mary of the woods","john n. hostettler","in","8","47876"
"ivy tech state college - region 7","terre haute","john n. hostettler","in","8","47802"
"ivy tech state college - region 12","evansville","john n. hostettler","in","8","47710"
"vincennes university","vincennes","john n. hostettler","in","8","47591"
"indiana state university","terre haute","john n. hostettler","in","8","47809"
"university of evansville","evansville","john n. hostettler","in","8","47722"
"oakland city university","oakland city","john n. hostettler","in","8","47660"
"saint meinrad school of theology","st meinrad","michael e. sodrel","in","9","47577"
"hanover college","hanover","michael e. sodrel","in","9","47243"
"mid america college of funeral service","jeffersonville","michael e. sodrel","in","9","47130"
"indiana university - bloomington","bloomington","michael e. sodrel","in","9","47405"
"ivy tech state college - region 13","sellersburg","michael e. sodrel","in","9","47172"
"ivy tech state college - region 11","madison","michael e. sodrel","in","9","47250"
"indiana university southeast","new albany","michael e. sodrel","in","9","47150"
"sterling college","sterling","jerry moran","ks","1","67579"
"mcpherson college","mcpherson","jerry moran","ks","1","67460"
"north central kansas technical college","beloit","jerry moran","ks","1","67420"
"pratt community college & area vocational school","pratt","jerry moran","ks","1","67124"
"cloud county community college","concordia","jerry moran","ks","1","66901"
"garden city community college","garden city","jerry moran","ks","1","67846"
"colby community college","colby","jerry moran","ks","1","67701"
"barton county community college","great bend","jerry moran","ks","1","67530"
"central christian college of kansas","mcpherson","jerry moran","ks","1","67460"
"kansas wesleyan university","salina","jerry moran","ks","1","67401"
"tabor college","hillsboro","jerry moran","ks","1","67063"
"emporia state university","emporia","jerry moran","ks","1","66801"
"dodge city community college","dodge city","jerry moran","ks","1","67801"
"fort hays state university","hays","jerry moran","ks","1","67601"
"hutchinson community college","hutchinson","jerry moran","ks","1","67501"
"bethany college","lindsborg","jerry moran","ks","1","67456"
"brown mackie college (the)","salina","jerry moran","ks","1","67401"
"barclay college","haviland","jerry moran","ks","1","67059"
"flint hills technical college","emporia","jerry moran","ks","1","66801"
"seward county community college","liberal","jerry moran","ks","1","67901"
"northwest kansas technical college","goodland","jerry moran","ks","1","67732"
"allen county community college","iola","jim ryun","ks","2","66749"
"washburn university - topeka","topeka","jim ryun","ks","2","66621"
"manhattan area technical college","manhattan","jim ryun","ks","2","66503"
"university of saint mary","leavenworth","jim ryun","ks","2","66048"
"benedictine college","atchison","jim ryun","ks","2","66002"
"labette community college","parsons","jim ryun","ks","2","67357"
"neosho county community college","chanute","jim ryun","ks","2","66720"
"bryan college","topeka","jim ryun","ks","2","66604"
"manhattan christian college","manhattan","jim ryun","ks","2","66502"
"highland community college","highland","jim ryun","ks","2","66035"
